1	КНР	17 617	16 173	14 790
2	США	17 419	16 768	16 163
3	Индия	7 376	6 784	6 253
4	Япония	4 751	4 685	4 343
5	Германия	3 722	3 610	3 549
6	Россия	3 565	3 492	3 396
7	Бразилия	3 264	3 212	3 081
8	Индонезия	2 676	2 511	2 344
9	Франция	2 581	2 535	2 490
10	Великобритания	2 549	2 450	2 374
11	Мексика	2 141	2 066	2 008
12	Италия	2 128	2 106	2 111
13	Республика Корея	1 779	1 697	1 624
14	Саудовская Аравия	1 606	1 528	1 466
15	Канада	1 592	1 530	1 478
16	Испания	1 566	1 523	1 590
17	Турция	1 508	1 445	1 367
18	Иран	1 334	1 277	1 283
19	Австралия	1 095	1 051	1 015
20	Тайвань	1 075	1 021	984
21	Нигерия	1 049	973	909
22	Таиланд	986	965	924
23	Польша	954	911	883
24	Аргентина	948	930	890
25	Египет	943	910	878
26	Пакистан	882	835	793
27	Нидерланды	799	780	774
28	Малайзия	746	694	652
29	ЮАР	705	684	659
30	Филиппины	692	643	591
31	Колумбия	640	603	567
32	ОАЭ	600	571	534
33	Алжир	552	522	501
34	Венесуэла	539	553	538
35	Бангладеш	534	496	461
36	Ирак	523	528	488
37	Вьетнам	511	475	444
38	Бельгия	481	470	461
39	Швейцария	473	457	442
40	Сингапур	453	434	409
41	Швеция	448	433	421
42	Казахстан	418	395	368
43	Чили	409	396	374
44	Гонконг (КНР)	398	383	367
45	Австрия	395	388	382
46	Румыния	393	376	359
47	Перу	373	358	333
48	Украина	371	392	387
49	Норвегия	345	333	325
50	Катар	321	298	276
51	Чехия	315	304	302
52	Греция	284	278	285
53	Кувейт	284	276	268
54	Португалия	280	274	274
55	Израиль	268	258	246
56	Марокко	252	242	228
57	Дания	250	244	241
58	Венгрия	246	234	227
59	Мьянма	242	221	202
60	Ирландия	227	213	210
61	Финляндия	221	218	218
62	Шри-Ланка	217	200	183
63	Эквадор	180	171	161
64	Ангола	176	166	153
65	Белоруссия	172	167	163
66	Узбекистан	172	157	143
67	Азербайджан	165	159	148
68	Оман	162	155	146
69	Судан	159	152	144
70	Новая Зеландия	159	152	146
71	Словакия	153	147	143
72	Эфиопия	145	129	116
73	Доминиканская Республика	138	127	119
74	Кения	132	124	116
75	Болгария	129	125	122
76	Танзания	127	117	107
77	Тунис	124	120	115
78	Гватемала	119	113	107
79	Гана	108	102	94,0
80	Йемен	104	102	96,2
81	Ливия	97,6	127	144
82	Сербия	95,5	95,9	92,1
83	Хорватия	88,5	87,6	87,1
84	Туркмения	82,1	73,3	65,6
85	Ливан	81,1	78,4	75,4
86	Литва	79,6	76,2	72,8
87	Иордания	79,6	76,1	72,9
88	Уганда	76,9	72,3	68,6
89	Панама	76,4	70,9	64,5
90	Кот-д’Ивуар	71,1	65,2	59,1
91	Коста-Рика	71,0	67,6	64,4
92	Уругвай	70,0	66,8	63,0
93	Боливия	70,0	65,4	60,4
94	Камерун	67,2	63,0	58,8
95	Непал	66,8	62,4	59,2
96	Бахрейн	61,9	58,3	54,5
97	Словения	61,1	58,7	58,4
98	Замбия	61,0	57,1	52,7
99	Афганистан	60,6	58,8	55,9
100	Парагвай	58,3	55,0	47,5
101	ДРК	55,8	50,4	45,8
102	Люксембург	51,4	49,2	47,6
103	Сальвадор	50,9	49,2	47,7
104	Камбоджа	50,0	46,0	42,2
105	Латвия	48,2	46,4	43,9
106	Тринидад и Тобаго	43,4	42,3	41,0
107	Гондурас	39,1	37,4	35,8
108	Босния и Герцеговина	38,1	37,2	35,8
109	Габон	36,3	34,1	31,8
110	Эстония	35,6	34,4	33,3
111	Монголия	34,8	31,8	28,0
112	Лаос	34,4	31,6	28,8
113	Грузия	34,7	32,2	30,7
114	Мадагаскар	33,9	32,4	31,2
115	Ботсвана	33,7	31,7	29,5
116	Сенегал	33,6	31,7	30,2
117	Албания	31,6	30,5	29,6
118	Мозамбик	31,1	28,5	26,2
119	Бруней	30,2	30,0	30,1
120	Чад	29,5	27,2	25,4
121	Никарагуа	29,5	27,8	26,2
122	Буркина-Фасо	29,3	27,8	25,7
